Provincias;Tipo de elector;Total
TOTAL;Electores españoles residentes en España;35.141.198
TOTAL;Electores españoles residentes en el extranjero;2.328.260
TOTAL;Total;37.469.458
Albacete;Electores españoles residentes en España;299.924
Albacete;Electores españoles residentes en el extranjero;8.064
Albacete;Total;307.988
Alicante / Alacant;Electores españoles residentes en España;1.261.010
Alicante / Alacant;Electores españoles residentes en el extranjero;45.301
Alicante / Alacant;Total;1.306.311
Almería;Electores españoles residentes en España;471.427
Almería;Electores españoles residentes en el extranjero;44.687
Almería;Total;516.114
Araba/Álava;Electores españoles residentes en España;252.058
Araba/Álava;Electores españoles residentes en el extranjero;8.156
Araba/Álava;Total;260.214
Asturias;Electores españoles residentes en España;835.593
Asturias;Electores españoles residentes en el extranjero;123.430
Asturias;Total;959.023
Ávila;Electores españoles residentes en España;128.300
Ávila;Electores españoles residentes en el extranjero;8.369
Ávila;Total;136.669
Badajoz;Electores españoles residentes en España;538.574
Badajoz;Electores españoles residentes en el extranjero;12.128
Badajoz;Total;550.702
Balears, Illes;Electores españoles residentes en España;795.915
Balears, Illes;Electores españoles residentes en el extranjero;32.840
Balears, Illes;Total;828.755
Barcelona;Electores españoles residentes en España;4.025.818
Barcelona;Electores españoles residentes en el extranjero;217.682
Barcelona;Total;4.243.500
Bizkaia;Electores españoles residentes en España;900.563
Bizkaia;Electores españoles residentes en el extranjero;42.420
Bizkaia;Total;942.983
Burgos;Electores españoles residentes en España;277.537
Burgos;Electores españoles residentes en el extranjero;18.864
Burgos;Total;296.401
Cáceres;Electores españoles residentes en España;322.765
Cáceres;Electores españoles residentes en el extranjero;16.726
Cáceres;Total;339.491
Cádiz;Electores españoles residentes en España;986.857
Cádiz;Electores españoles residentes en el extranjero;31.101
Cádiz;Total;1.017.958
Cantabria;Electores españoles residentes en España;466.589
Cantabria;Electores españoles residentes en el extranjero;41.229
Cantabria;Total;507.818
Castellón / Castelló;Electores españoles residentes en España;419.903
Castellón / Castelló;Electores españoles residentes en el extranjero;10.927
Castellón / Castelló;Total;430.830
Ciudad Real;Electores españoles residentes en España;384.479
Ciudad Real;Electores españoles residentes en el extranjero;7.016
Ciudad Real;Total;391.495
Córdoba;Electores españoles residentes en España;626.123
Córdoba;Electores españoles residentes en el extranjero;19.165
Córdoba;Total;645.288
Coruña, A;Electores españoles residentes en España;922.306
Coruña, A;Electores españoles residentes en el extranjero;163.367
Coruña, A;Total;1.085.673
Cuenca;Electores españoles residentes en España;149.438
Cuenca;Electores españoles residentes en el extranjero;3.256
Cuenca;Total;152.694
Gipuzkoa;Electores españoles residentes en España;556.075
Gipuzkoa;Electores españoles residentes en el extranjero;29.798
Gipuzkoa;Total;585.873
Girona;Electores españoles residentes en España;522.354
Girona;Electores españoles residentes en el extranjero;24.016
Girona;Total;546.370
Granada;Electores españoles residentes en España;712.178
Granada;Electores españoles residentes en el extranjero;53.300
Granada;Total;765.478
Guadalajara;Electores españoles residentes en España;191.796
Guadalajara;Electores españoles residentes en el extranjero;5.187
Guadalajara;Total;196.983
Huelva;Electores españoles residentes en España;394.310
Huelva;Electores españoles residentes en el extranjero;8.194
Huelva;Total;402.504
Huesca;Electores españoles residentes en España;165.249
Huesca;Electores españoles residentes en el extranjero;8.142
Huesca;Total;173.391
Jaén;Electores españoles residentes en España;504.825
Jaén;Electores españoles residentes en el extranjero;13.546
Jaén;Total;518.371
León;Electores españoles residentes en España;374.272
León;Electores españoles residentes en el extranjero;48.645
León;Total;422.917
Lleida;Electores españoles residentes en España;298.948
Lleida;Electores españoles residentes en el extranjero;18.277
Lleida;Total;317.225
Lugo;Electores españoles residentes en España;268.657
Lugo;Electores españoles residentes en el extranjero;69.098
Lugo;Total;337.755
Madrid;Electores españoles residentes en España;4.848.057
Madrid;Electores españoles residentes en el extranjero;376.504
Madrid;Total;5.224.561
Málaga;Electores españoles residentes en España;1.178.993
Málaga;Electores españoles residentes en el extranjero;60.853
Málaga;Total;1.239.846
Murcia;Electores españoles residentes en España;1.061.943
Murcia;Electores españoles residentes en el extranjero;37.760
Murcia;Total;1.099.703
Navarra;Electores españoles residentes en España;489.978
Navarra;Electores españoles residentes en el extranjero;29.940
Navarra;Total;519.918
Ourense;Electores españoles residentes en España;252.827
Ourense;Electores españoles residentes en el extranjero;102.938
Ourense;Total;355.765
Palencia;Electores españoles residentes en España;130.129
Palencia;Electores españoles residentes en el extranjero;7.513
Palencia;Total;137.642
Palmas, Las;Electores españoles residentes en España;843.241
Palmas, Las;Electores españoles residentes en el extranjero;55.641
Palmas, Las;Total;898.882
Pontevedra;Electores españoles residentes en España;772.695
Pontevedra;Electores españoles residentes en el extranjero;136.739
Pontevedra;Total;909.434
Rioja, La;Electores españoles residentes en España;234.383
Rioja, La;Electores españoles residentes en el extranjero;17.708
Rioja, La;Total;252.091
Salamanca;Electores españoles residentes en España;268.868
Salamanca;Electores españoles residentes en el extranjero;31.638
Salamanca;Total;300.506
Santa Cruz de Tenerife;Electores españoles residentes en España;774.004
Santa Cruz de Tenerife;Electores españoles residentes en el extranjero;107.213
Santa Cruz de Tenerife;Total;881.217
Segovia;Electores españoles residentes en España;115.809
Segovia;Electores españoles residentes en el extranjero;3.645
Segovia;Total;119.454
Sevilla;Electores españoles residentes en España;1.525.548
Sevilla;Electores españoles residentes en el extranjero;38.534
Sevilla;Total;1.564.082
Soria;Electores españoles residentes en España;68.463
Soria;Electores españoles residentes en el extranjero;7.305
Soria;Total;75.768
Tarragona;Electores españoles residentes en España;575.113
Tarragona;Electores españoles residentes en el extranjero;21.576
Tarragona;Total;596.689
Teruel;Electores españoles residentes en España;101.249
Teruel;Electores españoles residentes en el extranjero;5.103
Teruel;Total;106.352
Toledo;Electores españoles residentes en España;529.311
Toledo;Electores españoles residentes en el extranjero;13.256
Toledo;Total;542.567
Valencia / València;Electores españoles residentes en España;1.928.949
Valencia / València;Electores españoles residentes en el extranjero;70.391
Valencia / València;Total;1.999.340
Valladolid;Electores españoles residentes en España;416.646
Valladolid;Electores españoles residentes en el extranjero;14.735
Valladolid;Total;431.381
Zamora;Electores españoles residentes en España;142.159
Zamora;Electores españoles residentes en el extranjero;20.839
Zamora;Total;162.998
Zaragoza;Electores españoles residentes en España;713.505
Zaragoza;Electores españoles residentes en el extranjero;26.555
Zaragoza;Total;740.060
Ceuta;Electores españoles residentes en España;60.335
Ceuta;Electores españoles residentes en el extranjero;2.975
Ceuta;Total;63.310
Melilla;Electores españoles residentes en España;55.150
Melilla;Electores españoles residentes en el extranjero;5.968
Melilla;Total;61.118
